step,nq_coocs,avg_edge_attention,samples
1,1,0.08583662131952303,636077
2,1,0.06450105698108499,636077
3,1,0.06355782551769146,636077
4,1,0.030745275028644232,636077
5,1,0.09266742460407891,636077
1,2,0.0898557851444696,50480
2,2,0.03326323673967895,50480
3,2,0.03504519955437356,50480
4,2,0.02049348028173626,50480
5,2,0.08962454950157084,50480
1,3,0.08986736388523972,3840
2,3,0.012327362993157724,3840
3,3,0.01960112982216935,3840
4,3,0.014398907250104915,3840
5,3,0.09218248527095216,3840
1,4,0.09688581187120526,162
2,4,0.03203603762043611,162
3,4,0.04626416127512244,162
4,4,0.027844215360034758,162
5,4,0.11173343073384763,162
1,5,0.08703486222771062,8
2,5,0.0001381991180828268,8
3,5,0.0009724528669008614,8
4,5,0.030032068190656902,8
5,5,0.06927798437573074,8
1,0,0.10130935859408242,8163970
2,0,0.11098351085470762,8163970
3,0,0.12136967781263854,8163970
4,0,0.050528235413538215,8163970
5,0,0.13506620309862352,8163970
